Date,btc_price,vix_level,Returns,RealizedVol_21d,VIX_decimal,VIX_change,VIX_lag1
2021-06-01,36700.0,17.9,-0.04754038910516378,1.2374827946340095,0.179,1.139999999999997,0.16760000000000003
2021-06-02,36318.98,17.48,-0.010436285422226632,1.1953932072714573,0.1748,-0.41999999999999815,0.179
2021-06-03,37739.05,18.04,0.038354897754226513,1.2116077089913466,0.1804,0.5599999999999987,0.1748
2021-06-04,38701.82,16.42,0.025191259961182766,1.21941507923796,0.1642,-1.6199999999999974,0.1804
2021-06-07,35892.06,16.42,-0.075370526237581,1.2189390993621376,0.1642,0.0,0.1642
2021-06-08,34441.65,17.07,-0.04124951329654891,1.220522378098082,0.1707,0.6499999999999986,0.1642
2021-06-09,33624.61,17.89,-0.02400834847784772,1.2069328674915036,0.1789,0.8200000000000003,0.1707
2021-06-10,36396.96,16.1,0.07922701532975296,1.2587585927195162,0.161,-1.7899999999999991,0.1789
2021-06-11,36476.84,15.65,0.0021922839756580714,1.2493049153906797,0.1565,-0.45000000000000107,0.161
2021-06-14,37506.39,16.39,0.027833779812793225,1.2576019878992049,0.16390000000000002,0.7400000000000002,0.1565
2021-06-15,39847.49,17.02,0.06054809859433341,1.2486259903578338,0.1702,0.629999999999999,0.16390000000000002
2021-06-16,39959.84,18.15,0.0028155327140648723,1.2211665064063593,0.1815,1.129999999999999,0.1702
2021-06-17,38520.99,17.75,-0.036671662234091684,1.225559229867569,0.1775,-0.3999999999999986,0.1815
2021-06-18,37743.41,20.7,-0.020392396614665742,1.2227485052809128,0.207,2.9499999999999993,0.1775
2021-06-21,34932.68,17.89,-0.07738811016570857,1.1780267402277054,0.1789,-2.8099999999999987,0.207
2021-06-22,32568.17,16.66,-0.0700873497191079,1.1848597667896439,0.1666,-1.2300000000000004,0.1789
2021-06-23,32889.85,16.32,0.0098286684990736,0.9444068463281876,0.1632,-0.33999999999999986,0.1666
2021-06-24,33057.18,15.97,0.005074689765304896,0.6817709172583305,0.1597,-0.34999999999999964,0.1632
2021-06-25,34861.5,15.62,0.05314427912690256,0.7047347843285696,0.1562,-0.3500000000000014,0.1597
2021-06-28,32712.65,15.76,-0.0636212151771538,0.7231186315412095,0.1576,0.14000000000000057,0.1562
2021-06-29,34650.05,16.02,0.05753731538742812,0.758041368637381,0.1602,0.2599999999999998,0.1576
2021-06-30,36148.75,15.83,0.042343201224010585,0.7584329659809561,0.1583,-0.1899999999999995,0.1602
2021-07-01,34576.96,15.48,-0.044454805557585075,0.7729401925177513,0.1548,-0.34999999999999964,0.1583
2021-07-02,33408.91,15.07,-0.03436493342886493,0.7657143616400995,0.1507,-0.41000000000000014,0.1548
